player,minutes,goals,goals90,aerialsWon,aerials90,tackles,tackles90,seasonStarting
Alexis SánchezArsenal,1508,7,0.417771883,15,0.895225464,20,1.193633952,2017
Charlie AustinSouthampton,1030,7,0.611650485,41,3.582524272,7,0.611650485,2017
Jay RodriguezWest Bromwich Albion,2824,7,0.223087819,76,2.422096317,31,0.98796034,2017
Jordan AyewSwansea,2859,7,0.220356768,52,1.636935992,82,2.581322141,2017
Marcos AlonsoChelsea,2860,7,0.22027972,61,1.91958042,51,1.604895105,2017
Marcus RashfordManchester United,1810,7,0.348066298,18,0.895027624,14,0.696132597,2017
Pascal GroßBrighton,2949,7,0.21363174,13,0.396744659,36,1.098677518,2017
Philippe CoutinhoLiverpool,1116,7,0.564516129,1,0.080645161,17,1.370967742,2017
Salomón RondónWest Bromwich Albion,2772,7,0.227272727,164,5.324675325,14,0.454545455,2017
Steve MounieHuddersfield,1858,7,0.339074273,146,7.07212056,11,0.532831001,2017
Bernardo SilvaManchester City,1520,6,0.355263158,5,0.296052632,27,1.598684211,2017
Dusan TadicSouthampton,2813,6,0.191965873,8,0.255954497,46,1.471738358,2017
Dwight GayleNewcastle United,1961,6,0.275369709,67,3.074961754,12,0.550739419,2017
Laurent DepoitreHuddersfield,1811,6,0.298177802,127,6.311430149,14,0.695748205,2017
Mame Biram DioufStoke,2602,6,0.207532667,144,4.980784012,48,1.660261337,2017
Paul PogbaManchester United,2151,6,0.251046025,51,2.133891213,33,1.380753138,2017
Shinji OkazakiLeicester,1330,6,0.406015038,31,2.097744361,25,1.691729323,2017
WillianChelsea,1883,6,0.286776421,10,0.477960701,22,1.051513542,2017
Andre GrayWatford,1499,5,0.300200133,17,1.020680454,2,0.120080053,2017
Cenk TosunEverton,991,5,0.454086781,31,2.815338042,6,0.544904137,2017
Danny WelbeckArsenal,1185,5,0.379746835,24,1.82278481,20,1.518987342,2017
Eric Maxim Choupo-MotingStoke,2248,5,0.200177936,61,2.442170819,42,1.681494662,2017
FernandinhoManchester City,2885,5,0.155979203,94,2.932409012,62,1.934142114,2017
Harry KaneTottenham,2536,29,1.029179811,46,1.632492114,22,0.780757098,2016
Romelu LukakuEverton,3267,25,0.688705234,136,3.746556474,9,0.247933884,2016
Alexis SánchezArsenal,3224,24,0.669975186,14,0.390818859,53,1.479528536,2016
Diego CostaChelsea,3090,20,0.582524272,44,1.281553398,18,0.524271845,2016
Sergio AgüeroManchester City,2407,20,0.747818862,7,0.261736602,18,0.673036975,2016
Dele AlliTottenham,3045,18,0.532019704,14,0.413793103,52,1.536945813,2016
Zlatan IbrahimovicManchester United,2437,17,0.627821092,85,3.139105458,10,0.369306524,2016
Eden HazardChelsea,3007,16,0.478882607,20,0.598603259,18,0.538742933,2016
Joshua KingBournemouth,2721,16,0.5292172,39,1.289966924,49,1.620727674,2016
Christian BentekeCrystal Palace,3138,15,0.430210325,323,9.263862333,9,0.258126195,2016
Fernando LlorenteSwansea,2454,15,0.550122249,156,5.721271394,18,0.660146699,2016
Jermain DefoeSunderland,3323,15,0.406259404,2,0.054167921,19,0.514595245,2016
Son Heung-MinTottenham,2070,14,0.608695652,10,0.434782609,19,0.826086957,2016
Jamie VardyLeicester,2810,13,0.416370107,90,2.882562278,15,0.480427046,2016
Philippe CoutinhoLiverpool,2245,13,0.521158129,6,0.240534521,35,1.40311804,2016
Sadio ManéLiverpool,2248,13,0.520462633,42,1.681494662,23,0.920818505,2016
Olivier GiroudArsenal,1198,12,0.901502504,50,3.756260434,14,1.051752922,2016
Roberto FirminoLiverpool,3069,11,0.322580645,64,1.876832845,58,1.700879765,2016
Sam VokesBurnley,2055,10,0.437956204,211,9.240875912,7,0.306569343,2016
Theo WalcottArsenal,1925,10,0.467532468,21,0.981818182,36,1.683116883,2016
Troy DeeneyWatford,2942,10,0.305914344,192,5.873555404,20,0.611828688,2016
Álvaro NegredoMiddlesbrough,2880,9,0.28125,175,5.46875,18,0.5625,2016
Andre GrayBurnley,2268,9,0.357142857,4,0.158730159,10,0.396825397,2016
